time_ps,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15
24493000000,3292,2209,1109,370,-744,-1860,-2603,-3706,-4794,-5511,-6560,-7576,-8238,-9190,-10095,-10675
24495000000,-11491,-12247,-12939,-13369,-13945,-14447,-14747,-15118,-15408,-15564,-15714,-15780,-15784,-15705,-15541,-15392
24497000000,-15086,-14697,-14399,-13876,-13276,-12840,-12118,-11329,-10771,-9878,-8929,-8272,-7241,-6169,-5436,-4307
24498000000,-3154,-2374,-1191,0,794,1985,3167,3947,5099,6225,6959,8027,9053,9712,10655,11540
24500000000,12098,12877,13586,14020,14605,15111,15405,15772,16054,16194,16330,16376,16359,16257,16066,15890
24502000000,15555,15135,14809,14254,13621,13158,12404,11584,11001,10078,9101,8422,7365,6269,5519,4369
24503000000,3196,2005,1204,0,-1205,-2006,-3197,-4370,-5139,-6270,-7366,-8076,-9102,-10079,-10701,-11585
24505000000,-12405,-12916,-13622,-14255,-14634,-15136,-15556,-15790,-16068,-16260,-16339,-16383,-16339,-16260,-16068,-15790
24507000000,-15556,-15136,-14634,-14255,-13622,-12916,-12405,-11585,-10701,-10079,-9102,-8076,-7366,-6270,-5139,-4370
24508000000,-3197,-2006,-1205,0,1204,2005,3196,4369,5138,6269,7365,8075,9101,10078,10700,11584
24510000000,12404,12915,13621,14254,14633,15135,15555,15789,16067,16259,16338,16382,16338,16205,16067,15789
24512000000,15425,15135,14633,14051,13621,12915,12138,11584,10700,9758,9101,8075,7004,6269,5138,3980
24513000000,3196,2005,803,0,-1205,-2404,-3197,-4370,-5520,-6270,-7366,-8423,-9102,-10079,-11002,-11585
24515000000,-12405,-13159,-13622,-14255,-14810,-15136,-15556,-15892,-16068,-16260,-16364,-16383,-16339,-16206,-16068,-15790
24517000000,-15426,-15136,-14634,-14052,-13622,-12916,-12139,-11585,-10701,-9759,-9102,-8076,-7005,-6270,-5139,-3981
24518000000,-3197,-2006,-804,0,1204,2403,3196,4369,5519,6269,7365,8422,9433,10078,11001,11864
24520000000,12404,13158,13840,14254,14809,15284,15555,15891,16141,16259,16363,16377,16338,16205,15984,15789
24522000000,15425,14977,14633,14051,13394,12915,12138,11296,10700,9758,8764,8075,7004,5896,5138,3980
24523000000,2800,2005,803,-402,-1205,-2404,-3590,-4370,-5520,-6640,-7366,-8423,-9434,-10079,-11002,-11865
24525000000,-12405,-13159,-13841,-14255,-14810,-15285,-15556,-15892,-16142,-16260,-16364,-16378,-16339,-16206,-15985,-15790
24527000000,-15426,-14978,-14634,-14052,-13395,-12916,-12139,-11297,-10701,-9759,-8765,-7723,-7005,-5897,-4756,-3981
24529000000,-2801,-1606,-804,401,1605,2403,3589,4755,5519,6639,7722,8422,9433,10392,11001,11864
24530000000,12663,13158,13840,14448,14809,15284,15677,15891,16141,16303,16363,16377,16303,16205,15984,15677
24532000000,15425,14977,14448,14051,13394,12663,12138,11296,10392,9758,8764,7722,7004,5896,4755,3980
24534000000,2800,1605,803,-402,-1606,-2404,-3590,-4756,-5520,-6640,-7723,-8423,-9434,-10393,-11002,-11865
24535000000,-12664,-13159,-13841,-14449,-14810,-15285,-15678,-15985,-16142,-16304,-16378,-16378,-16304,-16142,-15985,-15678
24537000000,-15285,-14978,-14449,-13841,-13395,-12664,-11865,-11297,-10393,-9434,-8765,-7723,-6640,-5897,-4756,-3590
24539000000,-2801,-1606,-402,401,1605,2800,3589,4755,5896,6639,7722,8764,9433,10392,11296,11864
24540000000,12663,13394,13840,14448,14977,15284,15677,15984,16141,16303,16377,16377,16303,16141,15984,15677
24542000000,15284,14977,14448,13840,13394,12663,11864,11296,10392,9433,8764,7722,6639,5896,4755,3589
24544000000,2800,1605,401,-402,-1606,-2801,-3981,-4756,-5897,-7005,-7723,-8765,-9759,-10393,-11297,-12139
24545000000,-12664,-13395,-14052,-14449,-14978,-15426,-15678,-15985,-16206,-16304,-16378,-16364,-16304,-16142,-15892,-15678
24547000000,-15285,-14810,-14449,-13841,-13159,-12664,-11865,-11002,-10393,-9434,-8423,-7723,-6640,-5520,-4756,-3590
24549000000,-2404,-1606,-402,803,1605,2800,3980,4755,5896,7004,7722,8764,9758,10392,11296,12138
24550000000,12663,13394,14051,14448,14977,15425,15677,15984,16205,16303,16377,16363,16303,16141,15891,15677
24552000000,15284,14809,14448,13840,13158,12404,11864,11001,10078,9433,8422,7365,6639,5519,4369,3589
24554000000,2403,1204,401,-804,-2006,-2801,-3981,-5139,-5897,-7005,-8076,-8765,-9759,-10701,-11297,-12139
24555000000,-12916,-13395,-14052,-14634,-14978,-15426,-15790,-15985,-16206,-16339,-16378,-16364,-16260,-16142,-15892,-15556
24557000000,-15285,-14810,-14255,-13841,-13159,-12405,-11865,-11002,-10079,-9434,-8423,-7366,-6640,-5520,-4370,-3590
24559000000,-2404,-1205,-402,803,2005,2800,3980,5138,5896,7004,8075,8764,9758,10700,11296,12138
24560000000,12915,13621,14051,14633,15135,15425,15789,16067,16205,16338,16382,16363,16259,16067,15891,15555
24562000000,15135,14809,14254,13621,13158,12404,11584,11001,10078,9101,8422,7365,6269,5519,4369,3196
24564000000,2403,1204,0,-804,-2006,-3197,-3981,-5139,-6270,-7005,-8076,-9102,-9759,-10701,-11585,-12139
24565000000,-12916,-13622,-14052,-14634,-15136,-15426,-15790,-16068,-16206,-16339,-16383,-16364,-16260,-16068,-15892,-15556
24567000000,-15136,-14810,-14255,-13622,-13159,-12405,-11585,-11002,-10079,-9102,-8423,-7366,-6270,-5520,-4370,-3197
24569000000,-2006,-1205,0,1204,2005,3196,4369,5138,6269,7365,8075,9101,10078,10700,11584,12404
24570000000,12915,13621,14254,14633,15135,15555,15789,16067,16259,16338,16382,16338,16259,16067,15789,15555
