time_ps,I,Q
132516000000,0,1
132526000000,0,0
132556000000,0,0
132566000000,0,0
132596000000,0,0
132606000000,0,0
132636000000,0,0
132646000000,0,0
132676000000,0,0
132686000000,0,0
132716000000,0,0
132726000000,0,0
132756000000,0,0
132766000000,0,0
132796000000,0,0
132806000000,0,0
132836000000,0,0
132846000000,0,0
132876000000,0,0
132886000000,0,0
132916000000,0,0
132926000000,0,0
132956000000,0,0
132966000000,0,0
132996000000,0,0
133006000000,0,0
133036000000,0,0
133046000000,0,0
133076000000,0,0
133086000000,0,0
133116000000,0,0
133126000000,0,0
133156000000,0,0
133166000000,0,0
133196000000,0,0
133206000000,0,0
133236000000,0,0
133246000000,0,0
133276000000,0,0
133286000000,0,0
133316000000,0,0
133326000000,0,0
133356000000,0,0
133366000000,0,0
133396000000,0,0
133406000000,0,0
133436000000,0,0
133446000000,0,0
133476000000,0,0
133486000000,0,0
133516000000,0,0
133526000000,0,0
133556000000,0,0
133566000000,0,0
133596000000,0,0
133606000000,0,0
133636000000,0,0
133646000000,0,0
133676000000,0,0
133686000000,0,0
133716000000,0,0
133726000000,0,0
133756000000,0,0
133766000000,0,0
133796000000,15,11
133806000000,1,19
133836000000,-1,5
133846000000,41,24
133876000000,-58,10
133886000000,89,11
133916000000,472,452
133926000000,477,963
133956000000,423,958
133966000000,472,895
133996000000,458,939
134006000000,472,924
134036000000,480,941
134046000000,469,957
134076000000,460,955
134086000000,457,948
134116000000,464,935
134126000000,474,935
134156000000,480,948
134166000000,475,957
134196000000,468,958
134206000000,458,951
134236000000,454,943
134246000000,467,937
134276000000,476,937
134286000000,479,947
134316000000,473,959
134326000000,461,959
134356000000,459,945
134366000000,459,938
134396000000,464,937
134406000000,479,939
134436000000,480,951
134446000000,468,957
134476000000,458,955
134486000000,457,946
134516000000,463,933
134526000000,469,934
134556000000,478,944
134566000000,478,952
134596000000,469,956
134606000000,457,952
134636000000,455,941
134646000000,469,934
134676000000,475,935
134686000000,476,943
134716000000,477,955
134726000000,465,958
134756000000,458,946
134766000000,459,937
134796000000,468,934
134806000000,481,937
134836000000,480,948
134846000000,471,955
134876000000,464,955
134886000000,459,948
134916000000,462,934
134926000000,473,933
134956000000,481,943
134966000000,480,952
134996000000,472,956
135006000000,454,950
135036000000,444,927
135046000000,475,920
135076000000,448,931
135086000000,483,908
135116000000,512,971
135126000000,188,834
135156000000,-23,219
135166000000,29,-71
135196000000,3,45
135206000000,1,13
135236000000,13,3
135246000000,2,24
135276000000,1,3
135286000000,0,0
135316000000,0,0
135326000000,0,0
135356000000,0,0
135366000000,0,0
135396000000,0,0
135406000000,0,0
135436000000,0,0
135446000000,0,0
135476000000,0,0
135486000000,0,0
135516000000,0,0
135526000000,0,0
135556000000,0,0
135566000000,0,0
135596000000,0,0
135606000000,0,0
135636000000,0,0
135646000000,0,0
135676000000,0,0
135686000000,0,0
135716000000,0,0
135726000000,0,0
135756000000,0,0
135766000000,0,0
135796000000,0,0
135806000000,0,0
135836000000,0,0
135846000000,0,0
135876000000,0,0
135886000000,0,0
135916000000,0,0
135926000000,0,0
135956000000,0,0
135966000000,0,0
135996000000,0,0
136006000000,0,0
136036000000,0,0
136046000000,0,0
136076000000,0,0
136086000000,0,0
136116000000,0,0
136126000000,0,0
136156000000,0,0
136166000000,0,0
136196000000,0,0
136206000000,0,0
136236000000,0,0
136246000000,0,0
136276000000,0,0
136286000000,0,0
136316000000,0,0
136326000000,0,0
136356000000,0,0
136366000000,-1,0
136396000000,-1,0
136406000000,-1,0
136436000000,-1,0
136446000000,-1,0
136476000000,-1,0
136486000000,-1,0
136516000000,-1,0
136526000000,-1,0
136556000000,-2,0
136566000000,-3,1
136596000000,-5,2
136606000000,-7,3
136636000000,-11,5
136646000000,-17,8
136676000000,-25,11
136686000000,-36,17
136716000000,-50,24
136726000000,-69,33
136756000000,-93,47
136766000000,-123,62
136796000000,-159,78
136806000000,-200,96
136836000000,-241,115
136846000000,-283,139
