valid, idx, real, imag
1,           3,     69,     33
1,           0,     59,     49
1,           1,     46,     61
1,           2,     31,     72
1,           3,     13,     77
1,           0,     -6,     79
1,           1,    -25,     77
1,           2,    -43,     71
1,           3,    -58,     59
1,           0,    -72,     44
1,           1,    -80,     27
1,           2,    -86,      8
1,           3,    -86,    -13
1,           0,    -82,    -33
1,           1,    -72,    -51
1,           2,    -60,    -68
1,           3,    -43,    -80
1,           0,    -24,    -89
1,           1,     -3,    -92
1,           2,     19,    -92
1,           3,     40,    -84
1,           0,     59,    -74
1,           1,     74,    -58
1,           2,     87,    -39
1,           3,     93,    -17
1,           0,     97,      5
1,           1,     93,     28
1,           2,     85,     50
1,           3,     71,     69
1,           0,     54,     85
1,           1,     32,     96
1,           2,      9,    102
1,           3,    -15,    102
1,           0,    -39,     98
1,           1,    -61,     85
1,           2,    -81,     70
1,           3,    -96,     50
1,           0,   -107,     26
1,           1,   -111,      1
1,           2,   -110,    -25
1,           3,   -101,    -50
1,           0,    -88,    -73
1,           1,    -70,    -92
1,           2,    -47,   -107
1,           3,    -21,   -115
1,           0,      6,   -119
1,           1,     34,   -113
1,           2,     61,   -105
1,           3,     83,    -88
1,           0,    102,    -66
1,           1,    115,    -41
1,           2,    123,    -13
1,           3,    122,     16
1,           0,    116,     45
1,           1,    104,     72
1,           2,     85,     96
1,           3,     60,    113
1,           0,     32,    127
1,           1,      2,    131
1,           2,    -30,    130
1,           3,    -60,    120
1,           0,    -87,    104
1,           1,   -110,     81
1,           2,   -128,     55
1,           3,   -137,     23
1,           0,   -142,    -10
1,           1,   -136,    -42
1,           2,   -125,    -74
1,           3,   -105,   -101
1,           0,    -79,   -124
1,           1,    -49,   -140
1,           2,    -15,   -150
1,           3,     20,   -148
1,           0,     55,   -142
1,           1,     86,   -125
1,           2,    115,   -103
1,           3,    136,    -73
1,           0,    151,    -40
1,           1,    157,     -3
1,           2,    156,     34
1,           3,    143,     70
1,           0,    124,    103
1,           1,     98,    130
1,           2,     65,    152
1,           3,     28,    163
1,           0,    -11,    168
1,           1,    -50,    161
1,           2,    -88,    147
1,           3,   -121,    122
1,           0,   -148,     93
1,           1,   -167,     56
1,           2,   -178,     16
1,           3,   -178,    -26
1,           0,   -170,    -68
1,           1,   -149,   -105
1,           2,   -123,   -139
1,           3,    -87,   -164
1,           0,    -47,   -182
1,           1,     -4,   -188
1,           2,     41,   -187
1,           3,     83,   -172
1,           0,    123,   -151
1,           1,    155,   -117
1,           2,    181,    -80
1,           3,    195,    -35
1,           0,    200,     12
1,           1,    192,     59
1,           2,    175,    104
1,           3,    147,    142
1,           0,    110,    175
1,           1,     67,    197
1,           2,     19,    210
1,           3,    -31,    209
1,           0,    -80,    200
1,           1,   -125,    176
1,           2,   -166,    144
1,           3,   -195,    102
1,           0,   -217,     55
1,           1,   -224,      2
1,           2,   -222,    -51
1,           3,   -205,   -101
1,           0,   -178,   -148
1,           1,   -139,   -186
1,           2,    -94,   -217
1,           3,    -41,   -233
1,           0,     14,   -240
1,           1,     70,   -229
1,           2,    123,   -210
1,           3,    169,   -175
1,           0,    208,   -133
1,           1,    234,    -80
1,           2,    250,    -24
1,           3,    248,     35
1,           0,    236,     93
1,           1,    208,    147
1,           2,    171,    195
1,           3,    120,    229
1,           0,     65,    256
1,           1,      3,    264
1,           2,    -60,    261
1,           3,   -119,    240
1,           0,   -176,    210
